iter	Logloss
0	0.608905068
1	0.5375060324
2	0.4977873692
3	0.4586890294
4	0.4192693767
5	0.3938515782
6	0.3668590627
7	0.3429181117
8	0.3247377972
9	0.3073249821
10	0.2914031902
11	0.279907906
12	0.2691046684
13	0.2606814843
14	0.2559848016
15	0.2473849338
16	0.241561892
17	0.2405025841
18	0.2340338897
19	0.229310607
20	0.2231154076
21	0.2152254273
22	0.2093758308
23	0.2060874203
24	0.2024812395
25	0.197263964
26	0.193371698
27	0.1900058378
28	0.1891225676
29	0.1869267869
30	0.1831198744
31	0.1796395529
32	0.1775288089
33	0.1742832221
34	0.1718468748
35	0.1703419835
36	0.1686744875
37	0.1663671383
38	0.162644818
39	0.1601202281
40	0.1574956841
41	0.1547801213
42	0.1519908934
43	0.1505793051
44	0.148219446
45	0.1458234724
46	0.1439530273
47	0.1413290135
48	0.1392438551
49	0.1365949903
50	0.1344608111
51	0.1326072459
52	0.1301234163
53	0.1284922042
54	0.1258554075
55	0.1245505169
56	0.1219819398
57	0.1209383018
58	0.120022959
59	0.1188450152
60	0.1172548135
61	0.1160450074
62	0.1148982777
63	0.1147088759
64	0.1135984762
65	0.110996129
66	0.1094838731
67	0.1077602875
68	0.1064667294
69	0.1051633369
70	0.1040301066
71	0.1027761418
72	0.1012124559
73	0.1003095596
74	0.09916095653
75	0.09702778739
76	0.09622449089
77	0.09466168832
78	0.09406897383
79	0.09270769375
80	0.09180518646
81	0.09033616207
82	0.08908729059
83	0.08819330984
84	0.08713541116
85	0.08600554541
86	0.08539538401
87	0.08458107683
88	0.08246320735
89	0.08165150268
90	0.08064651854
91	0.07947970421
92	0.07866584728
