Model,Test_Accuracy,F1_Score,ROC_AUC,Precision,Recall,Specificity,True_Positives,False_Positives,True_Negatives,False_Negatives
LightGBM,0.9753303964757709,0.9759450171821306,0.994977848474869,0.9742710120068611,0.9776247848537005,0.9729241877256317,568,15,539,13
CatBoost,0.9718061674008811,0.9725085910652921,0.9955339667074693,0.9708404802744426,0.9741824440619621,0.9693140794223827,566,17,537,15
Extra_Trees,0.9718061674008811,0.972318339100346,0.9958353268670348,0.9773913043478261,0.9672977624784854,0.9765342960288809,562,13,541,19
XGBoost,0.9709251101321585,0.9716251074806534,0.9961025121631445,0.9707903780068728,0.9724612736660929,0.9693140794223827,565,17,537,16
MLP,0.9621145374449339,0.9630901287553648,0.9909514281986119,0.9606164383561644,0.9655765920826161,0.9584837545126353,561,23,531,20
SVM,0.826431718061674,0.8386568386568387,0.9252067579239082,0.8,0.8812392426850258,0.7689530685920578,512,128,426,69
Logistic_Regression,0.6748898678414097,0.7059760956175298,0.7399929786189627,0.6572700296735905,0.7624784853700516,0.5830324909747292,443,231,323,138
