Model_Type,Model_Name,Test_Accuracy,CV_Score,CV_Std
Individual,LightGBM,0.9753303964757709,0.9610132158590308,0.006629919358278587
Ensemble,Majority_Voting,0.973568281938326,0.9618942731277533,0.008990454463417867
Ensemble,Stacking_Ensemble,0.973568281938326,0.9656374535327615,0.004618880184920393
Individual,CatBoost,0.9718061674008811,0.9640969162995594,0.006214421136416676
Individual,Extra_Trees,0.9718061674008811,0.9662995594713657,0.006556333068782897
Individual,XGBoost,0.9709251101321585,0.9603524229074889,0.005022799229511621
Individual,MLP,0.9621145374449339,0.9387665198237884,0.005852568394531461
Individual,SVM,0.826431718061674,0.8275330396475772,0.008519418328552315
Individual,Logistic_Regression,0.6748898678414097,0.6799559471365638,0.00938646508927865
