Classifier,Best_Params,Best_CV_Score,CV_Score_Mean,CV_Score_Std,Test_Accuracy,Test_F1_Score,Test_ROC_AUC,Fit_Time,Predict_Time
LightGBM,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'num_leaves': 63, 'subsample': 0.8}",0.9610132158590308,0.9610132158590308,0.006629919358278587,0.9753303964757709,0.9759450171821306,0.994977848474869,1.280482530593872,0.009025287628173829
CatBoost,"{'depth': 8, 'iterations': 300, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.9640969162995594,0.9640969162995594,0.006214421136416676,0.9718061674008811,0.9725085910652921,0.9955339667074693,5.106052541732788,0.01326456069946289
Extra_Trees,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9662995594713657,0.9662995594713657,0.006556333068782897,0.9718061674008811,0.972318339100346,0.9958353268670348,3.0405274868011474,0.4207629203796387
XGBoost,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.9}",0.9601321585903083,0.9603524229074889,0.005022799229511621,0.9709251101321585,0.9716251074806534,0.9961025121631445,0.37078227996826174,0.015640926361083985
MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'learning_rate': 'constant', 'max_iter': 500}",0.9387665198237884,0.9387665198237884,0.005852568394531461,0.9621145374449339,0.9630901287553648,0.9909514281986119,19.134092330932617,0.005162858963012695
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8275330396475772,0.8275330396475772,0.008519418328552315,0.826431718061674,0.8386568386568387,0.9252067579239082,2.9527974128723145,0.28428239822387696
Logistic_Regression,"{'C': 1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.6799559471365638,0.6799559471365638,0.00938646508927865,0.6748898678414097,0.7059760956175298,0.7399929786189627,0.04911646842956543,0.0028686046600341795
